"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location"
2024-07-03,695,-0.00570577762732549,-0.00964761998071961,-0.0016000357176964,-0.0176003243368304,0.00676299670938977,0.17625,"NZ"
2024-07-04,696,-0.00548418615893542,-0.00941019421209033,-0.00142064613450632,-0.0169443520788662,0.0065148433126881,0.177,"NZ"
2024-07-05,697,-0.00556603202119854,-0.00943404966040928,-0.00155406496130728,-0.0170349900018708,0.00647000141294675,0.172625,"NZ"
2024-07-06,698,-0.00580123529792465,-0.0098170846058947,-0.00170886117277047,-0.0176523878107536,0.00667310230140889,0.170625,"NZ"
2024-07-07,699,-0.00614442428168749,-0.0102970060904586,-0.00193523231199033,-0.0181834038852547,0.0066600881288519,0.16275,"NZ"
2024-07-08,700,-0.00667403211207374,-0.0106952711613189,-0.00252985996089561,-0.0184045452048245,0.00571687652126507,0.14125,"NZ"
2024-07-09,701,-0.00728955162260725,-0.0112084499603293,-0.00323204083682471,-0.0188210117761883,0.00451445815083555,0.111125,"NZ"
2024-07-10,702,-0.00795602490836123,-0.0119998490211732,-0.00398409956780421,-0.0194912831264452,0.00379574381517453,0.089125,"NZ"
2024-07-11,703,-0.00879629422108996,-0.0128431116157017,-0.00473331963811274,-0.020612827074654,0.00317726210751385,0.07475,"NZ"
2024-07-12,704,-0.00963423356844562,-0.0137642249625947,-0.00550718211264667,-0.0216936243072467,0.00238931971220475,0.059375,"NZ"
2024-07-13,705,-0.010544943675737,-0.0146314721966041,-0.00638051598852907,-0.0224975977017243,0.00116871880113223,0.0395,"NZ"
2024-07-14,706,-0.0115414155722164,-0.0154408631360567,-0.00749198567379028,-0.0231637412189194,-0.000165041712393691,0.0235,"NZ"
2024-07-15,707,-0.0124993384868151,-0.0164675693257492,-0.00848640011592638,-0.0241564776819166,-0.0010059876770689,0.017,"NZ"
2024-07-16,708,-0.0135386979277925,-0.017684693721814,-0.00943472700783321,-0.0257400721567138,-0.00141913974696222,0.0155,"NZ"
2024-07-17,709,-0.0145721652302528,-0.0188628396883346,-0.0104727368145383,-0.0271584362926903,-0.00209876654444052,0.01025,"NZ"
2024-07-18,710,-0.0156337956306922,-0.0198819457318093,-0.0115220345351899,-0.0280334596511404,-0.00359786830106268,0.005625,"NZ"
2024-07-19,711,-0.0166773448517765,-0.0208598363171253,-0.0127089339052096,-0.0287249736832612,-0.00509450386443318,0.00325,"NZ"
2024-07-20,712,-0.0177250946236427,-0.0219943133930209,-0.0137939651906098,-0.0301191710116835,-0.00616128989712197,0.001875,"NZ"
2024-07-21,713,-0.0185923532626444,-0.0229076672441821,-0.0144390322229139,-0.0316413198395963,-0.00651834437681327,0.00225,"NZ"
2024-07-22,714,-0.0191124464282089,-0.0235595712832218,-0.0148404143700067,-0.032345854379903,-0.00690910921886823,0.001875,"NZ"
2024-07-23,715,-0.0193003242377874,-0.0238417802003278,-0.0151374833766156,-0.0322533842305556,-0.00739884674691987,0.000875,"NZ"
2024-07-24,716,-0.0192745253782793,-0.0236571846869843,-0.0151305512419136,-0.0319110613314666,-0.00787043819043681,0.000375,"NZ"
2024-07-25,717,-0.0190295514916317,-0.0232518744549883,-0.0148320363843146,-0.031564742633041,-0.00739033161914093,5e-04,"NZ"
2024-07-26,718,-0.0185279022744838,-0.0228500017293402,-0.0141598199334618,-0.0314911247002731,-0.00627178601868003,0.001375,"NZ"
2024-07-27,719,-0.0178757559693159,-0.022221999941249,-0.0135441686832897,-0.0309259584151202,-0.00536738237032732,0.00275,"NZ"
2024-07-28,720,-0.0171023171805249,-0.021388332778983,-0.0128107712177924,-0.0299752593422184,-0.00453327265063667,0.003375,"NZ"
2024-07-29,721,-0.0162483910506839,-0.0203431462657706,-0.0120860877349055,-0.028313692552376,-0.00390703625043333,0.00425,"NZ"
2024-07-30,722,-0.0151508657012187,-0.0193447127536082,-0.0109922532811174,-0.0273509341257515,-0.00277786995698175,0.008125,"NZ"
2024-07-31,723,-0.0141015710941983,-0.0183856739959194,-0.00965178496396468,-0.0268458969561414,-0.00126421518943122,0.01525,"NZ"
2024-08-01,724,-0.0128888872459425,-0.017327551796556,-0.00838591072225225,-0.0260793042120505,-0.000130534066771728,0.024375,"NZ"
2024-08-02,725,-0.011740487990709,-0.0160772955811306,-0.00725761200533093,-0.0245955662089697,0.000913142856844099,0.034875,"NZ"
2024-08-03,726,-0.0105033993484485,-0.0147999564413251,-0.00616400075094536,-0.0230284751053386,0.00160791796960262,0.044875,"NZ"
2024-08-04,727,-0.00938099042539364,-0.0135904339929792,-0.0049540612848723,-0.0220527537612387,0.0028357598033382,0.068625,"NZ"
2024-08-05,728,-0.00833627507929768,-0.0125741569140094,-0.00383707079289597,-0.0213350605328224,0.00463913083873041,0.1005,"NZ"
2024-08-06,729,-0.00754450374393478,-0.0119239392771309,-0.00302757236851692,-0.0204384771340534,0.00593441578861191,0.12875,"NZ"
2024-08-07,730,-0.00682152165734351,-0.0111934743476947,-0.00245037731763798,-0.0196458526576105,0.00663173838108548,0.147875,"NZ"
2024-08-08,731,-0.00629614142816326,-0.0106158112242557,-0.00206484083507352,-0.0188427572557566,0.00673687133385525,0.159,"NZ"
2024-08-09,732,-0.0059994759512989,-0.0103650852709362,-0.00166367394805578,-0.0186339184933054,0.00696244777987641,0.1765,"NZ"
2024-08-10,733,-0.00596727929730156,-0.0103428807935155,-0.00149051402435008,-0.0188800138617465,0.00730824474069412,0.18725,"NZ"
2024-08-11,734,-0.00614128464164732,-0.010679246376292,-0.00158248414897388,-0.0191053001136945,0.00745890375464101,0.1835,"NZ"
2024-08-12,735,-0.00666095888561813,-0.0111768498072816,-0.00208092087038081,-0.0193916068350555,0.00682565829869476,0.16475,"NZ"
2024-08-13,736,-0.00734610414147085,-0.0117852969341136,-0.00293913943748791,-0.0196008856635086,0.00558717934167842,0.130125,"NZ"
2024-08-14,737,-0.0083658864698315,-0.0127230549744235,-0.00398604096159738,-0.0208052428364116,0.00446328157762471,0.10225,"NZ"
2024-08-15,738,-0.00945007461868119,-0.0140174116593291,-0.00491482039629654,-0.0221742116015194,0.00376901534310183,0.078125,"NZ"
2024-08-16,739,-0.0107379805378738,-0.0153642475946554,-0.00607188702061745,-0.0239738141483395,0.00275469613374147,0.05725,"NZ"
2024-08-17,740,-0.0121154328204198,-0.0167324205912903,-0.00757649992725506,-0.0251965128480195,0.00125683165234941,0.036125,"NZ"
2024-08-18,741,-0.0136558282276844,-0.0180879611824052,-0.00934978973711176,-0.0264198626848065,-0.000618412459032328,0.019875,"NZ"
2024-08-19,742,-0.0153060971461378,-0.0196774491365371,-0.0109569271646662,-0.0284331037154628,-0.00219797609679284,0.010875,"NZ"
2024-08-20,743,-0.0169709939831528,-0.0214523864692171,-0.0123255877899343,-0.0304216274542449,-0.00348964814698903,0.0075,"NZ"
2024-08-21,744,-0.0184435708995703,-0.023172227559682,-0.0136456890116606,-0.0322008286009614,-0.00479921276484668,0.00425,"NZ"
2024-08-22,745,-0.0198276645039375,-0.0245397301689768,-0.0151878157804405,-0.0334183279177494,-0.00627779891041308,0.001875,"NZ"
2024-08-23,746,-0.0211650125084473,-0.0258372891690055,-0.0166651294071201,-0.0347907569319306,-0.00791597636987218,0.001125,"NZ"
2024-08-24,747,-0.0224403094481653,-0.027057918449271,-0.0179363911429063,-0.036023558308752,-0.00951569958862568,0.000375,"NZ"
2024-08-25,748,-0.0235063666334396,-0.0283757909033285,-0.0189854888247771,-0.0376043200109612,-0.0103104699896436,0.00025,"NZ"
2024-08-26,749,-0.0245071015893217,-0.0293915468926343,-0.0198398233970302,-0.0389491706902207,-0.0109664448310333,0.00025,"NZ"
2024-08-27,750,-0.025363513437979,-0.0302552197479233,-0.0206104186323195,-0.0395904850303479,-0.0120089100646832,0.000125,"NZ"
2024-08-28,751,-0.0260343074073754,-0.0308843978659732,-0.021334392611591,-0.0398725644705216,-0.0129270129371926,0,"NZ"
2024-08-29,752,-0.0264491880166149,-0.0312749127787344,-0.0217618968932135,-0.0403620342759272,-0.0133922576052049,0,"NZ"
2024-08-30,753,-0.0266404168373768,-0.0316897625292233,-0.0219572373916973,-0.0410546546263268,-0.0132210811060392,0,"NZ"
2024-08-31,754,-0.0266855491032103,-0.0317425022173851,-0.0218494981957211,-0.0415403432767836,-0.0131339385367042,0,"NZ"
2024-09-01,755,-0.0264507440446426,-0.0314173079997215,-0.0216709330811891,-0.0413586255924732,-0.0127561364829909,0,"NZ"
2024-09-02,756,-0.0259587955476894,-0.030825001182441,-0.0212925599290426,-0.0401331353376747,-0.0125923672774589,0,"NZ"
2024-09-03,757,-0.0252288070237556,-0.0300674200947157,-0.0206927386455438,-0.0391494293087823,-0.011800394547128,0.000125,"NZ"
2024-09-04,758,-0.0243572215376107,-0.0292253945930153,-0.0196341545545126,-0.0386515492115288,-0.0105658938587522,0.000625,"NZ"
2024-09-05,759,-0.0232810012670064,-0.0281584388761007,-0.0184630969028782,-0.0379275211886843,-0.00938688040624146,5e-04,"NZ"
2024-09-06,760,-0.0220332459863091,-0.0268349731863481,-0.0171723655836525,-0.0362662416205598,-0.00824878918711471,0.000625,"NZ"
2024-09-07,761,-0.0206147452174499,-0.0253340021764947,-0.0157433782890459,-0.0345350723458939,-0.00729635490407889,0.001,"NZ"
2024-09-08,762,-0.0189999267676264,-0.0237159840298728,-0.0141633338154104,-0.0328431020348896,-0.00579295536317459,0.0025,"NZ"
2024-09-09,763,-0.0173315647538559,-0.0221112963126313,-0.0124151867416014,-0.0317515626507787,-0.00369638824904543,0.006,"NZ"
2024-09-10,764,-0.0156847038798476,-0.0206110777058585,-0.0108086341865322,-0.0303957283338532,-0.00177059873101542,0.013625,"NZ"
2024-09-11,765,-0.0140361307029062,-0.018881319528076,-0.00922424980244307,-0.0284325392257876,-0.000182192568011027,0.024,"NZ"
2024-09-12,766,-0.0124178136263968,-0.0171180341987044,-0.00767804087588841,-0.0265063965991548,0.0014169785678238,0.039625,"NZ"
2024-09-13,767,-0.0107024971915599,-0.0155127373125481,-0.00600571489962309,-0.0248216598619744,0.00322663142148486,0.0665,"NZ"
2024-09-14,768,-0.0091253810580294,-0.0140363438531338,-0.00418355839982787,-0.0234786613256114,0.00536292866151652,0.105,"NZ"
2024-09-15,769,-0.00767036816196875,-0.0125448165575519,-0.00261115208087725,-0.0223058223707169,0.00723738604362852,0.15425,"NZ"
2024-09-16,770,-0.00628992272254858,-0.0111282399445914,-0.00123527464273399,-0.0207971222899804,0.00822735062346637,0.20075,"NZ"
2024-09-17,771,-0.00497281648715919,-0.00974587412633121,-0.000140835483398938,-0.0191462374741716,0.0093887376623093,0.242875,"NZ"
2024-09-18,772,-0.00383862694623405,-0.00873856116595706,0.00108157459880875,-0.0177032686991128,0.0104965753240121,0.296875,"NZ"
2024-09-19,773,-0.00281116138004101,-0.0078511042299676,0.00230232706854838,-0.0169455938249908,0.0119644985454664,0.352625,"NZ"
2024-09-20,774,-0.00192316773632673,-0.00708810973745211,0.00324582268647478,-0.0163414320461986,0.0129909478895374,0.402,"NZ"
2024-09-21,775,-0.00125598545217387,-0.00619904044504982,0.00390959971134108,-0.0153267699356497,0.0134721169546243,0.43825,"NZ"
2024-09-22,776,-0.000680404133101442,-0.00545239869248959,0.00448473484509349,-0.0144709445478943,0.0136457876411313,0.45975,"NZ"
2024-09-23,777,-0.000182359264045306,-0.00488885804412553,0.00483165943032848,-0.0142692365452297,0.0141122700531766,0.489,"NZ"
2024-09-24,778,0.000187995567667798,-0.00468175892925815,0.00517020962395365,-0.0145648412354106,0.0149693016382749,0.50925,"NZ"
2024-09-25,779,0.000458080361338542,-0.00447715814828964,0.00545216800644066,-0.0144072331312986,0.0155372962014166,0.52375,"NZ"
2024-09-26,780,0.000589488162919372,-0.00430968642132523,0.00553583148717207,-0.014073421734536,0.0155066230373953,0.5325,"NZ"
2024-09-27,781,0.000593206843687799,-0.00419607371706632,0.00538943203695708,-0.0135385435252594,0.0149338859819808,0.52925,"NZ"
2024-09-28,782,0.000441792445430966,-0.00424850024964019,0.00529711442237413,-0.014022090813916,0.014747898682597,0.525875,"NZ"
2024-09-29,783,0.000350001297291014,-0.00454095338484761,0.00529561903552078,-0.0144450313134361,0.0148768264195813,0.517875,"NZ"
2024-09-30,784,0.000126864254391457,-0.0048697082433049,0.00511133407577702,-0.0147750302344601,0.014967760539967,0.506625,"NZ"
2024-10-01,785,-0.000150349277310502,-0.00512250667329084,0.00479534093407452,-0.0148383509217212,0.014611728012257,0.491875,"NZ"
2024-10-02,786,-0.00053772702985766,-0.00521626049250667,0.00437920155005878,-0.0146442083766725,0.013930939316416,0.471125,"NZ"
2024-10-03,787,-0.000878723344266641,-0.00556852451718581,0.00405595640283318,-0.0152826867163141,0.0136553164875727,0.451125,"NZ"
2024-10-04,788,-0.00121063986120173,-0.00609958382814202,0.0037220488745966,-0.0161556611792795,0.013348359884109,0.435,"NZ"
2024-10-05,789,-0.00155634108673053,-0.00652716993587998,0.00336805799470141,-0.0165984360795164,0.0131994609860121,0.417125,"NZ"
2024-10-06,790,-0.00201331236700564,-0.00694905671255341,0.00296452317265539,-0.0169753070877949,0.0126117420795631,0.396375,"NZ"
2024-10-07,791,-0.00230643615707726,-0.00720464962519385,0.00258439956294232,-0.016896457848195,0.011903780092823,0.373125,"NZ"
2024-10-08,792,-0.00271051094856944,-0.00753843718575797,0.00231773437693095,-0.0171123459938453,0.0115490946650253,0.355375,"NZ"
2024-10-09,793,-0.00299500412329845,-0.00806636661699001,0.00207211014775477,-0.0180651194385372,0.0117704217169591,0.3455,"NZ"
2024-10-10,794,-0.00333354140444397,-0.00853543867935991,0.00177685173983799,-0.0185841543174859,0.0115977877730555,0.328,"NZ"
2024-10-11,795,-0.00361406676743559,-0.00875152341655272,0.00138234223040024,-0.0187698309277265,0.010886661709495,0.312625,"NZ"
2024-10-12,796,-0.00394799551627267,-0.00899785572447587,0.00100667220192319,-0.0187345556890163,0.0101575701011385,0.292125,"NZ"
2024-10-13,797,-0.0042816398652934,-0.0092440472149905,0.000624542699489417,-0.0192248809010647,0.0101203650860969,0.277125,"NZ"
2024-10-14,798,-0.00455409044353816,-0.00956416093951384,0.000491340327812728,-0.0197562206202841,0.0100433866844408,0.270375,"NZ"
2024-10-15,799,-0.00475430798289911,-0.00980866857435037,0.000300326856626176,-0.0200112163267568,0.0102006936065147,0.26325,"NZ"
2024-10-16,800,-0.0049005841357137,-0.00993287515731889,0.000123919438251741,-0.0198069890376936,0.00988921229393932,0.256625,"NZ"
2024-10-17,801,-0.00499086087097456,-0.00990372185047506,-0.000147208399713716,-0.019383908505544,0.00964852326089879,0.242,"NZ"
2024-10-18,802,-0.00509620192920424,-0.00990747203103637,-0.000236340079463715,-0.0194592953672219,0.00945267993093092,0.23875,"NZ"
2024-10-19,803,-0.00505924384133172,-0.0100115712165156,-8.94093189388601e-05,-0.0197445984730704,0.00964510450645841,0.246625,"NZ"
2024-10-20,804,-0.00483560317402043,-0.00988489336164677,0.000112182805101724,-0.0197871993499631,0.0101567368103609,0.255375,"NZ"
2024-10-21,805,-0.0046146908537914,-0.00965471998708911,0.000287519383608714,-0.0193935017441641,0.0102754054135357,0.261375,"NZ"
2024-10-22,806,-0.0042455830671797,-0.00920804978510414,0.000652988878400262,-0.0185818547354338,0.010359266182347,0.278375,"NZ"
2024-10-23,807,-0.00377216908166256,-0.00882100888420811,0.00110664871228916,-0.0182971605741812,0.010786778049078,0.30125,"NZ"
2024-10-24,808,-0.00319060187138853,-0.00831489652833917,0.00170298177971206,-0.0182850929136631,0.011783240640085,0.33175,"NZ"
2024-10-25,809,-0.00253980777636298,-0.00770366646497644,0.00234106701755654,-0.0180276131228955,0.01245227546198,0.367375,"NZ"
2024-10-26,810,-0.00183123995343215,-0.00690578024850252,0.00304987485508112,-0.017070314989952,0.0128661636507217,0.40475,"NZ"
2024-10-27,811,-0.000998415448208778,-0.00588570956478085,0.00383078052070696,-0.0159777925451373,0.0134675978504573,0.44375,"NZ"
2024-10-28,812,-0.00010067408072767,-0.00499701361334393,0.00468498642935278,-0.0147286913610272,0.0144532255396636,0.494875,"NZ"
2024-10-29,813,0.000843338282906725,-0.00424644381968975,0.00575555590950361,-0.0140524522256387,0.0157378225370692,0.54775,"NZ"
2024-10-30,814,0.00177731334020326,-0.00333945216960629,0.00669460623066176,-0.0131542683281386,0.0164543416536247,0.5985,"NZ"
2024-10-31,815,0.00273616355881035,-0.00237737573793206,0.00758005110255711,-0.0119634604095156,0.0171144896087664,0.639875,"NZ"
2024-11-01,816,0.00351728780972471,-0.00135377418030402,0.00846230661002245,-0.0105698334971334,0.0176427837272284,0.691625,"NZ"
2024-11-02,817,0.00447029218189399,-0.000421803747464033,0.00943885201924699,-0.00945032966894725,0.0186320156484376,0.732125,"NZ"
2024-11-03,818,0.00525275482341581,0.000249688634274881,0.0103836987383701,-0.00901780399573944,0.0197947349919099,0.760875,"NZ"
2024-11-04,819,0.00601102132117148,0.000979703149777134,0.0111672164346955,-0.00830981942571942,0.020939459275685,0.792375,"NZ"
2024-11-05,820,0.00671605244354523,0.00177329040951857,0.0118492402991981,-0.00747668899655507,0.021405302527041,0.8205,"NZ"
2024-11-06,821,0.00742499026391363,0.00256860375015966,0.0122198081791322,-0.00669698241624007,0.0218000036566086,0.84725,"NZ"
2024-11-07,822,0.00794493867614365,0.00318370637839016,0.0127749505804752,-0.00615213120672534,0.0224016309445182,0.8665,"NZ"
2024-11-08,823,0.008321361659686,0.00353391630393229,0.0133004078351784,-0.00614433422293578,0.0232967668402756,0.8725,"NZ"
2024-11-09,824,0.00870344168890247,0.00368870976460467,0.0136200434142654,-0.00606835892011981,0.0237859716788688,0.879,"NZ"
2024-11-10,825,0.00876943750443604,0.00383955232716116,0.0137001445974632,-0.00576316939896175,0.023572258715016,0.885375,"NZ"
2024-11-11,826,0.00884580378822197,0.00404566390065952,0.01354304177127,-0.00519713690105835,0.0231612002275254,0.89,"NZ"
2024-11-12,827,0.00862453794953444,0.0038753687341917,0.0135159079737055,-0.00525873561119592,0.0229507622385171,0.888625,"NZ"
2024-11-13,828,0.0084862125431342,0.00365541159722893,0.0134019064630707,-0.0056463809266618,0.0230065840610176,0.8755,"NZ"
2024-11-14,829,0.00828085811925061,0.00328780841569309,0.0131801853563325,-0.00595234141717522,0.0228564309697839,0.8695,"NZ"
2024-11-15,830,0.00801525660380742,0.00309842010061867,0.0127814677013097,-0.00606369844585038,0.0224057911107069,0.862875,"NZ"
2024-11-16,831,0.00761772350432532,0.00297176827422607,0.0123128282597414,-0.00624177375892825,0.021476263346754,0.85975,"NZ"
2024-11-17,832,0.00713017596493026,0.00244889153441252,0.011961881767518,-0.00659784597957395,0.0209839818281382,0.847375,"NZ"
2024-11-18,833,0.00670678152241089,0.00187533734728518,0.0116491991484812,-0.0074648150258587,0.021015288425043,0.82575,"NZ"
2024-11-19,834,0.00627310405449588,0.00135271482007226,0.0112636536046204,-0.00797821960214371,0.0209245965590566,0.8055,"NZ"
2024-11-20,835,0.00587846290883398,0.000915771179146874,0.0108350737601394,-0.00813654929389282,0.0204731759274503,0.788625,"NZ"
2024-11-21,836,0.00547089702587944,0.00050822750225854,0.010189747984178,-0.00821460158233874,0.0196101909538551,0.774,"NZ"
2024-11-22,837,0.00498337870440935,0.000208992797964935,0.00972143259966918,-0.0089535469002352,0.0193252620720402,0.75775,"NZ"
2024-11-23,838,0.00447092023636197,-0.000297188036469942,0.00945615010542733,-0.0101862833921306,0.0191770040268224,0.737,"NZ"
2024-11-24,839,0.00406534886256682,-0.000773244336634393,0.00912335724544078,-0.0110446938691203,0.0188948927034792,0.71275,"NZ"
2024-11-25,840,0.00352911185069105,-0.00124758040576245,0.00843483756557173,-0.0113566886792,0.0181600970144216,0.692125,"NZ"
2024-11-26,841,0.0030710723590992,-0.00168638530857135,0.00783856769499236,-0.0114156779800678,0.0172441587589189,0.66475,"NZ"
2024-11-27,842,0.00253303865190269,-0.00227419823001496,0.00739231884017832,-0.0119988299785354,0.0164148220001339,0.6415,"NZ"
2024-11-28,843,0.00217240604559987,-0.00281708666742364,0.00703961383381613,-0.0126884529546529,0.016094344352848,0.613375,"NZ"
2024-11-29,844,0.00176878292385041,-0.0033104946334388,0.00669128491073545,-0.0132497193521087,0.0155608846677974,0.591375,"NZ"
2024-11-30,845,0.00123904170442479,-0.00358564787412297,0.00624747587106844,-0.0133746004937816,0.0150091284112434,0.56925,"NZ"
2024-12-01,846,0.000896273125967628,-0.00379605362304869,0.00581512700523246,-0.0130793378946672,0.0144620545880872,0.55175,"NZ"
2024-12-02,847,0.000742506570776902,-0.00408008725465703,0.00537673466711719,-0.013012849124396,0.0140416469161767,0.536,"NZ"
2024-12-03,848,0.000398917633145368,-0.00447084609452952,0.00529286141800478,-0.0137625191080404,0.0143961189367552,0.52325,"NZ"
2024-12-04,849,0.000177336326292243,-0.00474291041672226,0.0051961387275794,-0.0139074499479835,0.0145244684368533,0.509875,"NZ"
2024-12-05,850,5.20055718873369e-05,-0.00484823384985178,0.00496778206515747,-0.0139143792771611,0.0142739776461891,0.50275,"NZ"
2024-12-06,851,-7.6590941006982e-05,-0.0048788549270925,0.004751964085701,-0.0137607374565629,0.0137579940642304,0.494875,"NZ"
2024-12-07,852,-0.000118155285380395,-0.00496019986698659,0.00463260752682049,-0.0141804748716312,0.013371106237695,0.493,"NZ"
2024-12-08,853,-0.000143951292082667,-0.00514722557401026,0.00465643585769016,-0.0144685001703399,0.0136554454411585,0.492,"NZ"
2024-12-09,854,-0.000185085207012881,-0.00528437436339702,0.0046906323966347,-0.0145699169389629,0.0137432928370227,0.489125,"NZ"
2024-12-10,855,-0.000198993176403039,-0.00518625310624854,0.00455456522461972,-0.0145420321107258,0.0136077194726747,0.48875,"NZ"
2024-12-11,856,-0.000199191563736711,-0.00507026283211132,0.00447051090131323,-0.0139883505135591,0.0133880514854839,0.487625,"NZ"
